Designator,Mid X,Mid Y,Rotation,Layer
_2,134.4569,-69.079499,90.0,top
,140.0,-78.5,90.0,top
7.4_LIPO1,32.5,-92.5,270.0,top
C1,40.04,-108.05,270.0,top
C2,45.0,-107.9875,90.0,top
C3,40.0,-90.0,180.0,top
D1,95.0,-24.27,270.0,top
D2,123.0,-49.5,315.0,top
D3,123.0,-79.898026,45.0,top
D4,95.0,-105.73,90.0,top
D5,39.0,-21.0,180.0,top
D6,51.0,-107.9875,90.0,top
J1,54.4,-56.31,0.0,top
J1_MOTORENCODER1,90.5,-53.69,180.0,top
J2_MOTORENCODER1,90.5,-77.77,180.0,top
J3,106.85,-73.0,90.0,top
J4,106.85,-57.125,90.0,top
Q1,108.0,-32.23,270.0,top
Q2,100.5,-24.27,90.0,top
Q3,108.5,-48.23,90.0,top
Q4,127.0,-45.5,315.0,top
Q5,112.14,-85.0,270.0,top
Q6,127.0,-83.601974,45.0,top
Q7,108.5,-92.23,90.0,top
Q8,100.5,-105.73,270.0,top
Q9,42.46,-96.5,0.0,top
R1,46.5,-90.0,180.0,top
R10,112.95,-79.5,180.0,top
R11,105.95,-85.5,0.0,top
R12,105.95,-82.0,180.0,top
R13,118.0,-86.45,90.0,top
R14,103.5,-97.95,90.0,top
R15,101.5,-92.0,0.0,top
R16,113.5,-93.95,270.0,top
R17,99.0,-97.95,90.0,top
R18,35.5,-108.0,270.0,top
R19,59.0,-57.5,90.0,top
R1_2,51.0,-101.95,270.0,top
R2,114.5,-31.95,270.0,top
R20,59.0,-51.55,270.0,top
R21,33.0,-21.0,180.0,top
R3,101.45,-34.5,0.0,top
R4,101.45,-39.0,180.0,top
R5,101.45,-30.5,0.0,top
R6,114.0,-49.45,270.0,top
R7,101.5,-46.5,0.0,top
R8,101.5,-51.0,180.0,top
R9,114.0,-43.05,270.0,top
SW2,30.0,-104.1,270.0,top
U1,40.5,-54.5,270.0,top
U2,42.5,-103.0,0.0,top
