timestamp_us,w/x,w/y,w/theta,IR[0],IR[1],IR[2],IR[3],state
0,0.0900,0.1400,1.5708,154.95,117.15,52.54,51.64,0
100000,0.0898,0.1900,1.5748,158.46,77.43,53.19,53.98,0
200000,0.0892,0.2400,1.5828,153.73,55.78,51.80,51.43,0
300000,0.0880,0.2900,1.5948,151.04,80.29,51.67,53.32,0
400000,0.0860,0.3399,1.6108,152.69,127.99,50.42,54.12,0
500000,0.0830,0.3899,1.6307,152.15,151.64,50.85,52.87,0
600000,0.0788,0.4397,1.6547,157.56,133.44,53.97,53.44,0
700000,0.0732,0.4894,1.6826,153.69,83.51,51.07,50.32,0
800000,0.0661,0.5388,1.7145,149.06,58.42,51.78,50.49,0
900000,0.0572,0.5880,1.7503,146.18,68.55,51.83,53.13,0
1000000,0.0463,0.6368,1.7900,148.99,111.04,51.42,53.72,0
1100000,0.0333,0.6851,1.8336,132.46,147.62,53.18,52.29,0
1200000,0.0180,0.7327,1.8812,125.61,145.37,50.40,53.53,0
1300000,0.0003,0.7795,1.9326,101.83,112.81,52.66,50.95,0
1400000,-0.0199,0.8252,1.9879,80.85,64.72,50.97,52.55,0
1500000,-0.0428,0.8697,2.0470,64.39,51.72,51.30,51.32,0
1600000,-0.0685,0.9126,2.1099,52.46,80.62,54.90,51.58,0
1700000,-0.0970,0.9537,2.1766,61.46,111.75,53.03,53.12,0
1800000,-0.1283,0.9927,2.2470,76.34,149.43,54.04,53.35,0
1900000,-0.1624,1.0292,2.3212,108.60,151.68,51.30,52.32,0
2000000,-0.1992,1.0630,2.3991,139.33,142.39,51.84,51.40,0
2100000,-0.2387,1.0937,2.4807,157.56,110.48,52.12,52.18,0
2200000,-0.2806,1.1210,2.5658,132.33,80.75,51.90,53.39,0
2300000,-0.3248,1.1444,2.6546,97.87,66.89,50.12,53.03,0
2400000,-0.3710,1.1636,2.7470,56.31,60.43,54.04,51.43,0
2500000,-0.4188,1.1783,2.8429,57.64,59.79,54.04,51.58,0
2600000,-0.4678,1.1882,2.9422,101.60,57.99,54.47,54.17,0
2700000,-0.5175,1.1930,3.0451,144.36,54.49,54.96,54.53,0
2800000,-0.5675,1.1925,3.1513,153.67,53.47,52.81,54.47,0
2900000,-0.6172,1.1866,3.2609,114.43,52.22,54.10,50.02,0
3000000,-0.6658,1.1751,3.3738,67.05,50.96,53.01,52.39,0
3100000,-0.7128,1.1580,3.4901,56.19,60.37,54.63,54.88,0
3200000,-0.7575,1.1354,3.6095,75.57,76.42,52.26,53.15,0
3300000,-0.7990,1.1076,3.7321,114.95,94.78,51.83,54.28,0
3400000,-0.8367,1.0748,3.8579,145.70,133.52,51.72,50.82,0
3500000,-0.8699,1.0374,3.9867,157.38,153.28,51.44,50.72,0
3600000,-0.8979,0.9959,4.1186,139.03,146.69,52.40,51.11,0
3700000,-0.9200,0.9511,4.2535,122.09,115.95,52.11,54.60,0
3800000,-0.9358,0.9037,4.3912,115.33,65.32,52.98,52.84,0
3900000,-0.9448,0.8545,4.5319,105.61,58.39,53.22,50.03,0
4000000,-0.9466,0.8045,4.6754,100.04,89.83,51.12,54.98,0
4100000,-0.9412,0.7548,4.8216,108.95,131.77,53.72,50.22,0
4200000,-0.9284,0.7065,4.9705,122.82,151.65,54.48,54.94,0
4300000,-0.9085,0.6606,5.1221,132.22,134.92,52.60,52.03,0
4400000,-0.8818,0.6183,5.2762,149.02,90.82,54.11,54.21,0
4500000,-0.8488,0.5808,5.4329,156.47,59.43,54.57,53.16,0
4600000,-0.8103,0.5489,5.5920,125.08,51.53,51.47,50.63,0
4700000,-0.7671,0.5236,5.7535,87.89,61.69,53.14,53.54,0
4800000,-0.7204,0.5057,5.9174,54.49,70.54,54.63,53.76,0
4900000,-0.6714,0.4958,6.0835,67.24,81.27,54.92,54.76,0
5000000,-0.6214,0.4943,6.2518,110.81,82.67,53.09,51.69,0
5100000,-0.5719,0.5012,6.4222,153.01,76.86,51.50,52.74,0
5200000,-0.5243,0.5165,6.5947,152.03,67.63,53.98,50.15,0
5300000,-0.4801,0.5399,6.7691,118.04,59.22,51.51,54.43,0
5400000,-0.4407,0.5706,6.9455,78.67,59.74,53.37,53.79,0
5500000,-0.4073,0.6079,7.1238,58.61,89.43,54.56,53.13,0
5600000,-0.3812,0.6505,7.3038,60.80,123.61,53.38,51.88,0
5700000,-0.3632,0.6971,7.4855,67.18,153.51,51.07,51.01,0
5800000,-0.3540,0.7463,7.6689,69.48,140.09,50.30,53.42,0
5900000,-0.3540,0.7963,7.8538,69.06,94.89,54.46,54.95,0
6000000,-0.3632,0.8454,8.0402,63.80,55.95,52.18,51.91,0
6100000,-0.3815,0.8920,8.2280,52.37,61.25,54.25,53.83,0
6200000,-0.4082,0.9342,8.4172,55.34,97.82,52.95,54.62,0
6300000,-0.4424,0.9707,8.6076,80.53,133.10,54.73,51.73,0
6400000,-0.4829,1.0000,8.7992,112.15,146.87,54.10,50.20,0
6500000,-0.5283,1.0209,8.9919,150.02,154.51,52.94,53.00,0
6600000,-0.5769,1.0328,9.1857,143.26,149.49,53.61,51.41,0
6700000,-0.6268,1.0350,9.3804,102.38,152.81,53.71,54.87,0
6800000,-0.6763,1.0275,9.5759,59.46,159.54,51.52,50.72,0
6900000,-0.7233,1.0104,9.7723,57.06,155.69,52.12,54.93,0
7000000,-0.7661,0.9845,9.9694,87.30,137.81,52.80,50.54,0
7100000,-0.8029,0.9507,10.1671,121.55,114.53,51.13,53.00,0
7200000,-0.8324,0.9103,10.3654,143.22,78.00,54.08,52.43,0
7300000,-0.8533,0.8649,10.5642,148.89,59.20,51.80,53.20,0
7400000,-0.8648,0.8163,10.7634,157.53,80.13,50.90,52.00,0
7500000,-0.8664,0.7663,10.9629,153.05,126.52,54.53,51.69,0
7600000,-0.8581,0.7170,11.1626,151.51,155.43,52.81,52.55,0
7700000,-0.8402,0.6703,11.3625,148.45,145.45,53.47,53.62,0
7800000,-0.8133,0.6281,11.5625,135.89,104.24,52.67,52.00,0
7900000,-0.7786,0.5921,11.7625,102.67,71.31,51.28,53.58,0
8000000,-0.7375,0.5637,11.9624,64.19,54.50,52.09,52.47,0
8100000,-0.6915,0.5441,12.1622,60.51,55.55,52.62,50.19,0
8200000,-0.6425,0.5339,12.3617,86.01,55.32,52.54,50.75,0
8300000,-0.5925,0.5336,12.5609,133.54,55.22,54.76,54.72,0
8400000,-0.5435,0.5432,12.7597,156.29,58.96,52.11,51.46,0
8500000,-0.4972,0.5623,12.9580,132.55,59.28,54.27,52.90,0
8600000,-0.4557,0.5901,13.1558,89.18,69.79,50.92,51.85,0
8700000,-0.4204,0.6255,13.3530,61.45,102.68,51.56,54.26,0
8800000,-0.3926,0.6671,13.5494,56.86,137.67,54.20,51.30,0
8900000,-0.3735,0.7133,13.7450,57.08,151.42,50.43,50.40,0
9000000,-0.3637,0.7624,13.9398,63.90,123.25,51.46,51.10,0
9100000,-0.3636,0.8124,14.1336,60.67,80.57,50.56,52.25,0
9200000,-0.3730,0.8615,14.3264,61.81,58.76,50.89,52.04,0
9300000,-0.3916,0.9079,14.5181,53.75,70.40,54.67,53.16,0
9400000,-0.4186,0.9499,14.7086,61.16,111.49,51.92,52.71,0
9500000,-0.4531,0.9862,14.8979,82.65,144.93,51.47,54.47,0
9600000,-0.4937,1.0153,15.0858,130.20,154.68,50.74,51.48,0
9700000,-0.5390,1.0364,15.2723,151.76,156.59,50.60,51.96,0
9800000,-0.5875,1.0488,15.4574,141.01,147.83,54.59,54.15,0
9900000,-0.6374,1.0522,15.6409,95.74,149.11,52.54,50.28,0
10000000,-0.6870,1.0464,15.8227,62.97,153.42,54.38,52.64,1
10100000,-0.7349,1.0319,16.0029,61.68,152.52,53.36,54.33,1
10200000,-0.7794,1.0091,16.1813,98.78,156.38,51.63,51.62,1
10300000,-0.8192,0.9788,16.3578,136.40,141.10,53.91,51.55,1
10400000,-0.8531,0.9421,16.5324,156.58,102.24,51.80,51.66,1
10500000,-0.8803,0.9001,16.7051,153.56,69.67,50.82,53.13,1
10600000,-0.8999,0.8542,16.8757,141.57,57.17,53.29,53.04,1
10700000,-0.9115,0.8055,17.0441,135.16,86.96,54.76,54.47,1
10800000,-0.9149,0.7556,17.2104,131.78,130.07,54.13,51.59,1
10900000,-0.9101,0.7059,17.3744,137.84,157.34,52.38,52.28,1
11000000,-0.8974,0.6575,17.5361,140.86,128.47,52.02,52.02,1
11100000,-0.8772,0.6118,17.6954,149.04,86.03,50.58,51.35,1
11200000,-0.8500,0.5698,17.8523,151.12,61.52,51.30,52.64,1
11300000,-0.8168,0.5325,18.0067,132.88,59.58,52.67,54.98,1
11400000,-0.7783,0.5006,18.1584,93.90,77.03,53.55,54.47,1
11500000,-0.7354,0.4748,18.3076,66.77,105.84,50.68,51.06,1
11600000,-0.6893,0.4555,18.4540,57.12,120.23,54.40,50.96,1
11700000,-0.6409,0.4431,18.5977,89.16,132.72,51.11,53.39,1
11800000,-0.5912,0.4375,18.7386,142.93,140.89,53.46,53.42,1
11900000,-0.5412,0.4389,18.8766,158.34,138.48,51.95,51.50,1
12000000,-0.4918,0.4470,19.0117,127.41,128.99,54.35,50.17,1
